moodID,moodname
1,OVER THE MOON
2,WORRIED
3,WEAK
4,COOL
5,SAD
6,AWFUL
7,CHILL
8,MEH
9,BLESSED
10,TRIGGERED
11,YOLO
12,SICK
13,EXCITED
14,GOOD
15,SCARED
16,CONFUSED
17,WONDERING
18,FOCUSED
19,HAPPY
20,ANGRY
21,HUNGRY
