moodID,actID
1,1
1,2
2,1
3,3
4,1
5,1
5,3
6,4
6,5
6,3
6,6
6,7
6,8
6,9
6,10
6,1
7,1
8,1
9,1
10,1
11,1
12,3
12,11
12,1
13,1
14,1
15,1
15,12
15,13
15,3
15,14
15,6
16,13
16,15
17,1
18,1
18,3
19,13
19,16
19,17
19,1
19,3
19,18
20,9
20,19
21,1
